Date (UTC)	Temp	RH	Pressure	NO2	O3	COV	PMP	Latitude	Longitude	Altitude	GPS Date
2017-09-21 07:26:58	17.652	54.234	1016.733	NA	NA	66.174	NA	No signal	No signal	No signal	23:59:49
2017-09-21 07:27:52	17.678	53.603	1016.806	34.487	0	58.525	0	No signal	No signal	No signal	23:59:49
2017-09-21 07:29:54	17.741	52.622	1016.824	34.487	0	58.525	0	No signal	No signal	No signal	23:59:49
2017-09-21 07:30:57	17.786	52.858	1016.727	34.487	0	58.525	0	No signal	No signal	No signal	00:00:40
2017-09-21 07:32:57	17.83	50.521	1016.781	32.758	0.138	55.466	1.983	No signal	No signal	No signal	23:59:49
2017-09-21 07:33:51	17.813	50.335	1016.819	31.718	0.699	54.701	4.845	No signal	No signal	No signal	23:59:49
2017-09-21 07:35:57	17.589	49.513	1017.015	31.025	0.583	55.247	5.175	No signal	No signal	No signal	23:59:49
2017-09-21 07:36:51	17.482	49.639	1017.101	31.025	0.583	53.062	5.175	No signal	No signal	No signal	07:36:09
2017-09-21 07:37:51	17.401	49.779	1017.153	28.411	0.437	53.426	5.883	No signal	No signal	No signal	07:37:09
2017-09-21 07:38:52	17.24	50.008	1017.163	28.411	0.437	53.426	5.883	No signal	No signal	No signal	07:38:10
2017-09-21 07:39:56	17.169	50.211	1017.187	26.489	0.35	55.744	6.565	No signal	No signal	No signal	07:39:13
2017-09-21 07:40:51	17.061	50.433	1017.174	26.489	0.35	57.83	6.565	No signal	No signal	No signal	07:40:09
2017-09-21 07:41:51	16.972	50.981	1017.203	25.63	0.339	57.83	8.293	No signal	No signal	No signal	07:41:09
2017-09-21 07:42:51	16.82	51.962	1017.187	25.63	0.339	58.525	9.122	No signal	No signal	No signal	07:42:09
2017-09-21 07:43:54	16.793	52.122	1017.212	26.361	0.311	59.221	9.066	No signal	No signal	No signal	07:43:11
2017-09-21 07:44:51	16.712	52.341	1017.192	26.812	0.279	63.232	8.735	No signal	No signal	No signal	07:44:09
2017-09-21 07:45:52	16.659	52.26	1017.192	27.068	0.262	64.409	10.164	No signal	No signal	No signal	07:45:10
2017-09-21 07:46:51	16.632	52.35	1017.176	27.294	0.246	63.988	10.448	No signal	No signal	No signal	07:46:09
2017-09-21 07:47:52	16.596	52.448	1017.155	27.294	0.246	64.997	10.448	No signal	No signal	No signal	07:47:10
2017-09-21 07:48:56	16.578	52.522	1017.154	27.294	0.246	66.174	9.961	No signal	No signal	No signal	07:48:13
2017-09-21 07:49:53	16.551	52.578	1017.149	27.294	0.246	66.174	10.246	No signal	No signal	No signal	07:49:10
2017-09-21 07:50:52	16.542	52.375	1017.147	29.968	1.643	66.174	15.161	No signal	No signal	No signal	07:50:09
2017-09-21 07:51:51	16.533	52.365	1017.122	29.968	1.643	67.266	15.576	No signal	No signal	No signal	07:51:09
2017-09-21 07:52:51	16.677	54.173	1017.068	29.746	2.654	67.703	16.107	No signal	No signal	No signal	07:52:08
2017-09-21 07:53:51	16.614	52.085	1016.981	29.65	2.543	68.723	19.884	No signal	No signal	No signal	07:53:09
2017-09-21 07:54:53	16.516	51.803	1016.822	29.561	2.442	66.684	22.371	No signal	No signal	No signal	07:54:11
2017-09-21 07:55:53	16.56	52.24	1016.797	29.561	2.442	63.988	23.429	No signal	No signal	No signal	07:55:11
2017-09-21 07:56:51	16.48	52.223	1016.827	29.479	2.348	62.896	33.168	No signal	No signal	No signal	07:56:09
2017-09-21 07:57:51	16.399	52.634	1016.894	29.141	2.261	61.075	33.281	No signal	No signal	No signal	07:57:09
2017-09-21 07:58:54	16.292	52.464	1016.936	28.879	2.261	60.565	34.922	No signal	No signal	No signal	07:58:11
2017-09-21 07:59:51	16.229	52.721	1016.953	28.826	2.18	59.545	35.096	No signal	No signal	No signal	07:59:09
2017-09-21 08:00:53	16.024	53.15	1017.011	28.745	2.261	59.072	36.276	No signal	No signal	No signal	08:00:11
2017-09-21 08:01:52	15.845	53.732	1017.08	29.312	2.16	59.035	37.358	No signal	No signal	No signal	08:01:10
2017-09-21 08:02:51	15.934	53.654	1017.076	28.997	2.24	58.525	39.96	No signal	No signal	No signal	08:02:09
2017-09-21 08:03:51	16.059	54.177	1017.112	29.052	2.213	57.888	38.785	No signal	No signal	No signal	08:03:09
2017-09-21 08:04:51	16.077	53.283	1016.914	29.112	2.302	56.439	40.02	No signal	No signal	No signal	08:04:09
2017-09-21 08:05:51	16.068	52.941	1016.773	29.112	2.302	56.231	40.478	No signal	No signal	No signal	08:05:09
2017-09-21 08:06:51	16.131	53.686	1016.695	29.385	2.302	56.231	40.449	No signal	No signal	No signal	08:06:09
2017-09-21 08:07:51	16.265	53.888	1016.723	29.752	2.398	55.976	43.991	No signal	No signal	No signal	08:07:09
2017-09-21 08:08:51	16.122	53.248	1016.705	30.038	2.398	54.276	44.328	No signal	No signal	No signal	08:08:09
2017-09-21 08:09:51	16.113	53.133	1016.852	30.602	2.502	54.701	44.642	No signal	No signal	No signal	08:09:09
2017-09-21 08:10:51	16.104	52.887	1016.873	30.75	2.482	54.701	43.584	No signal	No signal	No signal	08:10:09
2017-09-21 08:11:51	16.095	52.876	1016.887	31.373	2.584	55.247	26.68	No signal	No signal	No signal	08:11:09
2017-09-21 08:12:51	16.077	52.995	1016.889	31.229	2.707	55.976	29.071	No signal	No signal	No signal	08:12:09
2017-09-21 08:13:51	16.05	53.05	1016.903	31.071	2.842	55.466	28.488	No signal	No signal	No signal	08:13:09
2017-09-21 08:14:51	16.015	53.357	1016.91	30.896	2.992	55.466	33.084	No signal	No signal	No signal	08:14:09
2017-09-21 08:15:51	15.97	53.243	1016.892	30.395	2.707	53.062	26.668	No signal	No signal	No signal	08:15:09
2017-09-21 08:16:52	15.961	53.154	1016.877	30.228	2.794	52.789	28.593	No signal	No signal	No signal	08:16:10
2017-09-21 08:17:51	15.943	53.386	1016.888	30.341	2.992	53.062	28.559	No signal	No signal	No signal	08:17:09
2017-09-21 08:18:51	15.916	53.572	1016.89	29.538	3.158	53.062	28.559	No signal	No signal	No signal	08:18:09
2017-09-21 08:19:51	15.925	53.452	1016.879	28.64	2.451	53.062	28.559	No signal	No signal	No signal	08:19:09
2017-09-21 08:20:51	15.871	53.798	1016.9	27.411	1.643	51.969	26.907	No signal	No signal	No signal	08:20:08
2017-09-21 08:21:51	15.764	54.143	1016.817	27.042	0.36	51.642	21.419	No signal	No signal	No signal	08:21:08
2017-09-21 08:22:51	15.791	54.017	1016.781	27.02	0.38	50.877	21.419	No signal	No signal	No signal	08:22:09
2017-09-21 08:23:53	15.782	54.172	1016.801	27.018	0.38	51.642	14.187	No signal	No signal	No signal	08:23:11
2017-09-21 08:24:51	15.791	54.331	1016.775	26.994	0.402	50.877	14.187	No signal	No signal	No signal	08:24:09
2017-09-21 08:25:51	15.818	54.433	1016.808	26.967	0.427	50.877	13.222	No signal	No signal	No signal	08:25:09
2017-09-21 08:26:51	15.845	54.499	1016.794	26.965	0.427	50.877	12.253	No signal	No signal	No signal	08:26:09
2017-09-21 08:27:51	15.88	54.454	1016.757	26.935	0.456	50.877	12.253	No signal	No signal	No signal	08:27:09
2017-09-21 08:28:51	15.925	54.359	1016.737	26.9	0.488	50.877	12.186	No signal	No signal	No signal	08:28:09
2017-09-21 08:29:51	15.961	54.357	1016.801	26.651	0.964	50.877	12.197	No signal	No signal	No signal	08:29:09
2017-09-21 08:30:52	16.015	54.333	1016.732	26.469	1.347	51.727	12.131	No signal	No signal	No signal	08:30:10
2017-09-21 08:31:51	16.068	54.283	1016.718	25.658	1.444	51.727	12.131	No signal	No signal	No signal	08:31:09
2017-09-21 08:32:54	16.122	54.181	1016.701	25.542	1.457	52.576	10.783	No signal	No signal	No signal	08:32:11
2017-09-21 08:34:57	16.238	54.031	1016.69	25.542	1.457	53.062	12.573	No signal	No signal	No signal	08:34:15
2017-09-21 08:35:51	16.292	53.946	1016.726	25.026	1.859	53.818	10.451	No signal	No signal	No signal	08:35:09
2017-09-21 08:36:56	16.346	53.843	1016.685	24.913	1.947	53.23	9.928	No signal	No signal	No signal	08:36:14
2017-09-21 08:37:55	16.39	53.713	1016.69	25.432	1.907	53.608	9.553	No signal	No signal	No signal	08:37:13
2017-09-21 08:39:57	16.498	53.491	1016.666	25.852	1.867	52.642	10.172	No signal	No signal	No signal	08:39:15
2017-09-21 08:40:55	16.551	53.424	1016.69	26.06	1.938	52.789	8.315	No signal	No signal	No signal	08:40:13
2017-09-21 08:41:52	16.596	53.363	1016.685	26.06	1.938	52.963	8.662	No signal	No signal	No signal	08:41:10
2017-09-21 08:42:54	16.641	53.285	1016.708	25.91	1.8	51.465	8.852	No signal	No signal	No signal	08:42:11
2017-09-21 08:43:51	16.685	53.216	1016.698	25.948	2.1	54.276	8.046	No signal	No signal	No signal	08:43:09
2017-09-21 08:44:50	16.73	53.173	1016.689	25.929	1.938	52.267	5.905	No signal	No signal	No signal	08:44:08
2017-09-21 08:45:51	16.775	53.077	1016.684	25.871	2.016	51.642	4.909	No signal	No signal	No signal	08:45:09
2017-09-21 08:46:50	16.829	53.019	1016.708	25.667	1.735	50.288	5.862	No signal	No signal	No signal	08:46:08
2017-09-21 08:47:54	16.873	52.888	1016.694	25.545	1.671	49.7	6.806	No signal	No signal	No signal	08:47:12
2017-09-21 08:48:51	16.918	52.374	1016.657	25.422	1.533	49.784	7.578	No signal	No signal	No signal	08:48:09
2017-09-21 08:49:52	16.882	51.905	1016.619	25.3	1.483	49.238	10.795	No signal	No signal	No signal	08:49:10
2017-09-21 08:50:50	16.712	51.966	1016.59	25.178	1.434	49.238	20.364	No signal	No signal	No signal	08:50:09
