Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,DATE
1/23/2017,13:10,840714,559307,40.76,149,20,0,100,4761,1/23/17 13:10
1/23/2017,13:15,840696,555877,41.37,148,20,0,100,4705,1/23/17 13:15
1/23/2017,13:20,840552,552283,42,149,20,0,100,4815,1/23/17 13:20
1/23/2017,13:25,840699,548899,42.63,149,20,0,100,4819,1/23/17 13:25
1/23/2017,13:30,840670,545593,43.23,149,20,0,100,4580,1/23/17 13:30
1/23/2017,13:35,840321,542339,43.79,149,20,0,100,4244,1/23/17 13:35
1/23/2017,13:40,840238,539390,44.32,149,20,0,100,4082,1/23/17 13:40
1/23/2017,13:45,840177,536500,44.85,149,20,0,100,4041,1/23/17 13:45
1/23/2017,13:50,840447,533755,45.4,149,19,0,100,4156,1/23/17 13:50
1/23/2017,13:55,840678,530957,45.95,149,19,0,100,4217,1/23/17 13:55
1/23/2017,14:00,840921,528197,46.5,149,19,0,100,4194,1/23/17 14:00
1/23/2017,14:05,841031,525419,47.04,149,19,0,100,4120,1/23/17 14:05
1/23/2017,14:10,841104,522688,47.57,149,17,0,100,4039,1/23/17 14:10
,22:00,,,,,,,,,
1/23/2017,16:10,915055,501960,60.05,149,18,0,100,3385,1/23/17 16:10
1/23/2017,16:15,915106,499575,60.53,149,18,0,100,3674,1/23/17 16:15
1/23/2017,16:20,915274,497327,61,149,17,0,100,3578,1/23/17 16:20
1/23/2017,16:25,915357,495070,61.46,149,16,0,100,3537,1/23/17 16:25
1/23/2017,16:30,915418,492820,61.92,149,16,0,100,3524,1/23/17 16:30
1/23/2017,16:35,915758,490688,62.39,149,16,0,100,3589,1/23/17 16:35
1/23/2017,16:40,915775,488386,62.87,149,15,0,100,3599,1/23/17 16:40
1/23/2017,16:45,915907,486047,63.36,149,15,0,100,3770,1/23/17 16:45
1/23/2017,16:50,916083,483715,63.86,149,15,0,100,3813,1/23/17 16:50
1/23/2017,16:55,916293,481381,64.37,149,15,0,100,3862,1/23/17 16:55
1/23/2017,17:00,916306,479060,64.85,148,15,0,100,3721,1/23/17 17:00
1/23/2017,17:05,916493,476927,65.32,148,15,0,100,3582,1/23/17 17:05
1/23/2017,17:10,916541,474704,65.79,149,14,0,100,3602,1/23/17 17:10
1/23/2017,17:15,916695,472521,66.27,149,14,0,100,3642,1/23/17 17:15
1/23/2017,17:20,916686,470258,66.75,149,14,0,100,3653,1/23/17 17:20
1/23/2017,17:25,916737,468008,67.23,149,14,0,100,3699,1/23/17 17:25
1/23/2017,17:30,916964,465823,67.73,149,14,0,100,3757,1/23/17 17:30
1/23/2017,17:35,916918,463507,68.22,149,14,0,100,3762,1/23/17 17:35
1/23/2017,17:40,917049,461273,68.72,149,14,0,100,3792,1/23/17 17:40
1/23/2017,17:45,917196,458925,69.24,149,14,0,100,4013,1/23/17 17:45
1/23/2017,17:50,917214,456535,69.77,149,14,0,100,3996,1/23/17 17:50
1/23/2017,17:55,917041,454071,70.29,149,14,0,100,3982,1/23/17 17:55
1/23/2017,18:00,917150,451737,70.82,149,13,0,100,4020,1/23/17 18:00
1/23/2017,18:05,917174,449308,71.36,149,13,0,100,4131,1/23/17 18:05
1/23/2017,18:10,917264,447062,71.87,148,13,0,100,3922,1/23/17 18:10
1/23/2017,18:15,917229,444834,72.37,149,13,0,100,3780,1/23/17 18:15
1/23/2017,18:20,917223,442678,72.85,149,13,0,100,3699,1/23/17 18:20
1/23/2017,18:25,917194,440480,73.35,149,13,0,100,3771,1/23/17 18:25
1/23/2017,18:30,917132,438260,73.84,149,13,0,100,3801,1/23/17 18:30
1/23/2017,18:35,917177,436099,74.34,149,13,0,100,3806,1/23/17 18:35
1/23/2017,18:40,917260,434004,74.83,149,13,0,100,3740,1/23/17 18:40
1/23/2017,18:45,917267,431860,75.33,149,13,0,100,3782,1/23/17 18:45
