Date (UTC)	Temp	RH	Pressure	NO2	O3	COV	PMP	Latitude	Longitude	Altitude	GPS Date
2017-09-21 07:24:42	16.766	57.496	1016.745	NA	NA	102.679	NA	No signal	No signal	No signal	23:59:49
2017-09-21 07:25:30	16.748	58.643	1016.741	NA	NA	41.643	NA	No signal	No signal	No signal	00:00:36
2017-09-21 07:26:30	16.784	57.936	1016.727	NA	NA	24.205	NA	No signal	No signal	No signal	00:01:37
2017-09-21 07:27:30	16.829	57.23	1016.754	NA	NA	24.205	NA	No signal	No signal	No signal	23:59:49
2017-09-21 07:28:30	16.855	56.73	1016.773	42.617	0	45.131	5.827	No signal	No signal	No signal	23:59:49
2017-09-21 07:30:29	16.954	56.602	1016.743	42.617	0	43.387	5.827	No signal	No signal	No signal	23:59:49
2017-09-21 07:31:31	17.025	56.826	1016.723	45.106	0	39.152	5.487	No signal	No signal	No signal	23:59:49
2017-09-21 07:32:30	17.061	54.958	1016.772	45.106	0	39.152	5.487	No signal	No signal	No signal	23:59:49
2017-09-21 07:33:29	17.106	54.288	1016.798	42.617	0	43.387	5.827	No signal	No signal	No signal	23:59:49
2017-09-21 07:34:28	17.133	53.874	1016.821	42.617	0	43.387	5.827	No signal	No signal	No signal	23:59:49
2017-09-21 07:35:28	17.16	53.435	1016.94	46.775	0	34.668	5.48	No signal	No signal	No signal	23:59:49
2017-09-21 07:36:29	17.115	53.199	1017.023	46.358	0	35.831	4.659	No signal	No signal	No signal	23:59:49
2017-09-21 07:37:28	17.088	52.514	1017.112	46.781	0	32.253	6.572	No signal	No signal	No signal	00:00:48
2017-09-21 07:38:28	17.151	53.25	1017.117	46.223	0	34.668	6.941	No signal	No signal	No signal	23:59:49
2017-09-21 07:39:28	17.142	52.481	1017.132	45.619	0	26.821	6.743	No signal	No signal	No signal	23:59:49
2017-09-21 07:40:28	17.052	55.244	1017.138	45.539	0	32.131	7.595	No signal	No signal	No signal	23:59:49
2017-09-21 07:41:28	17.097	53.204	1017.181	45.126	0	32.924	8.17	No signal	No signal	No signal	23:59:49
2017-09-21 07:42:31	17.07	53.286	1017.215	46.785	0	33.651	10.374	No signal	No signal	No signal	23:59:49
2017-09-21 07:43:28	17.115	53.47	1017.178	48.235	0	33.651	10.557	No signal	No signal	No signal	23:59:49
2017-09-21 07:44:29	17.097	53.431	1017.192	49.315	0	32.343	11.292	No signal	No signal	No signal	23:59:49
2017-09-21 07:45:31	17.106	53.346	1017.158	49.315	0	32.924	11.292	No signal	No signal	No signal	23:59:49
